 [DEBUG] 2019-03-01 13:09:53,462 [54] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:09:53,471 [54] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:09:53,472 [54] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 13:09:54,319 [54] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 13:09:54,319 [54] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 13:10:14,076 [53] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:10:14,085 [88] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:10:15,615 [88] MAuthAPI.Controllers.AuthorizationController - AuthorizeMemOrTrans - Entered into AuthorizeMemOrTrans
 [DEBUG] 2019-03-01 13:14:17,539 [7] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:14:17,644 [12] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:14:20,943 [12] MAuthAPI.Controllers.AuthorizationController - AuthorizeMemOrTrans - Entered into AuthorizeMemOrTrans
 [DEBUG] 2019-03-01 13:14:42,549 [8] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:14:42,558 [15] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 13:14:42,567 [15] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 13:14:43,420 [12] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
